No.,X,Y,Z,x,y,Lv [cd/m²],u',v',Tcp,duv,λd/λc,Pe,Δt,ErrCode,Sync Mode,Meas Speed,Averaging Times,Integration Time,Date,Time
1,1011.4116,396.11619,3691.5266,0.198352777327406,0.0776842449017297,396.11619,0.224412360638165,0.19775339821198,----,----,441.528465208928,79.4789362042267,+0.31,0,UNIV,FAST,1,----,2024/11/15,09:24:48
2,1103.3995,444.04786,3338.7226,0.225820941357513,0.0908785129529141,444.04786,0.248229876537638,0.224767527351024,----,----,-568.755916991864,75.5716064180465,+0.35,0,UNIV,FAST,1,----,2024/11/15,09:24:51
3,1189.7142,487.52745,3086.0272,0.249768433709132,0.102351445058576,487.52745,0.267942973927297,0.247047987116932,----,----,-566.796724643481,75.439489095194,+0.36,0,UNIV,FAST,1,----,2024/11/15,09:24:54
4,1292.6047,539.38043,2780.317,0.280251523765638,0.116943863345743,539.38043,0.291714191329539,0.273885808555365,----,----,-563.574997433552,75.2758833015357,+0.38,0,UNIV,FAST,1,----,2024/11/15,09:24:57
5,1385.791,587.41661,2438.5435,0.314113594681002,0.133148175260503,587.41661,0.316523054123672,0.301881397512606,----,----,-558.481289804601,75.0963578330854,+0.43,0,UNIV,FAST,1,----,2024/11/15,09:25:00
6,1458.094,625.97551,2096.3432,0.348791878015317,0.149740122189993,625.97551,0.340343056463793,0.328754141554648,----,----,-550.224329695697,74.9136651027779,+0.46,0,UNIV,FAST,1,----,2024/11/15,09:25:03
7,1549.5326,673.19328,1752.9906,0.38974927105466,0.169326279523836,673.19328,0.366614363802364,0.358369506806285,----,----,-532.629797583629,74.7018396509027,+0.47,0,UNIV,FAST,1,----,2024/11/15,09:25:06
8,1648.9059,723.45838,1440.7576,0.432429372018919,0.189728627294756,723.45838,0.392058626404965,0.387035865496577,----,----,-512.230995542653,74.4840976954477,+0.52,0,UNIV,FAST,1,----,2024/11/15,09:25:09
9,1814.4308,805.54135,1017.1731,0.498861242893723,0.221476266310783,805.54135,0.42820774532923,0.427744531132942,----,----,-500.635605478058,74.1486189108939,+0.55,0,UNIV,FAST,1,----,2024/11/15,09:25:12
10,2090.379,934.76087,757.43053,0.552634525982649,0.247123191679393,934.76087,0.454823648746193,0.457615837413586,----,----,-496.797115250066,73.8971714802766,+0.56,0,UNIV,FAST,1,----,2024/11/15,09:25:15
11,2267.7396,1020.5557,422.56454,0.611108933718176,0.27501865982629,1020.5557,0.481377081983205,0.487429103831625,----,----,-494.408839325619,73.62124292659,+0.60,0,UNIV,FAST,1,----,2024/11/15,09:25:18
12,2301.1487,1037.9883,279.1049,0.635985310987637,0.286876424707812,1037.9883,0.492006262101622,0.499345250080313,----,----,652.298838421423,76.8585207086348,+0.62,0,UNIV,FAST,1,----,2024/11/15,09:25:21
13,2369.8778,1070.4971,190.32755,0.652732586224465,0.29484572606604,1070.4971,0.498965841287325,0.507122495395572,----,----,633.479933650011,84.284277076176,+0.65,0,UNIV,FAST,1,----,2024/11/15,09:25:24
