No.,X,Y,Z,x,y,Lv [cd/m²],u',v',Tcp,duv,λd/λc,Pe,Δt,ErrCode,Sync Mode,Meas Speed,Averaging Times,Integration Time,Date,Time
1,3907.6043,4131.6845,4949.7161,0.300839389166756,0.318090918573755,4131.6845,0.19360864723364,0.460599901426225,7333.15486598343,0.00379466812207139,485.444880467589,12.1820986960494,-0.02,0,UNIV,FAST,1,----,2025/01/02,16:33:58
2,4353.5309,4386.1757,4619.2865,0.325887652415959,0.328331309640395,4386.1757,0.207301059841228,0.469924874160108,5818.98866951607,-0.00363490230619945,482.482923541252,2.94444973990011,+0.00,0,UNIV,FAST,1,----,2025/01/02,16:34:01
3,4050.6694,3458.7396,596.87215,0.499695153060414,0.426674024253403,3458.7396,0.280700096602133,0.539282276317996,2337.01103268757,0.00363449271954287,585.255232419332,78.091268241749,+0.00,0,UNIV,FAST,1,----,2025/01/02,16:34:04
4,4474.0128,2762.7273,407.65497,0.585267082487405,0.361405614793794,2762.7273,0.379653231386312,0.527485366266589,----,----,601.305169038949,84.1147385196838,+0.00,0,UNIV,FAST,1,----,2025/01/02,16:34:07
5,3190.3401,1622.3126,468.04863,0.604150831609331,0.307215367546644,1622.3126,0.441124242375085,0.504708945382891,----,----,625.97510602081,73.4281782097168,-0.01,0,UNIV,FAST,1,----,2025/01/02,16:34:10
6,1899.7879,961.57697,4493.3908,0.258307411590737,0.130742204519759,961.57697,0.254974157941784,0.290373928584035,----,----,-567.014568185019,65.8506491320332,+0.01,0,UNIV,FAST,1,----,2025/01/02,16:34:14
7,1195.2167,1287.9461,4677.43,0.166915887187441,0.179865848537009,1287.9461,0.138388530571642,0.335531773047996,----,----,478.394114938885,70.5984925383354,+0.01,0,UNIV,FAST,1,----,2025/01/02,16:34:16
8,1006.1129,2468.833,3843.681,0.137472904924283,0.33733554582486,2468.833,0.0811878140541837,0.448248002488958,----,----,491.978637739643,65.9375444783468,-0.02,0,UNIV,FAST,1,----,2025/01/02,16:34:20
9,1958.2256,3681.8448,933.98409,0.297871823693996,0.56005693375383,3681.8448,0.130574815016286,0.552388579884268,6165.57892939832,0.0906332196020678,546.031906145237,58.9623154379195,+0.01,0,UNIV,FAST,1,----,2025/01/02,16:34:23
10,2001.2397,2251.572,3182.9469,0.269137260588314,0.302803267443351,2251.572,0.176617659062682,0.447098663725757,10415.0787044942,0.0144221711765823,485.353842976665,24.1061818074607,+0.00,0,UNIV,FAST,1,----,2025/01/02,16:34:25
11,1474.0572,1630.0423,3677.6925,0.217355117939329,0.240355690649315,1630.0423,0.1595396293562,0.396949843498671,----,----,480.436645927161,47.5531580023857,+0.00,0,UNIV,FAST,1,----,2025/01/02,16:34:28
12,2241.714,2814.0644,2514.0549,0.296137829085351,0.371747208752933,2814.0644,0.172456635878749,0.487097898765337,6954.75640402123,0.0311685017337592,505.861599926947,11.3125182746535,+0.01,0,UNIV,FAST,1,----,2025/01/02,16:34:31
13,1620.8399,1307.0544,2727.6555,0.286592808359675,0.231110050520641,1307.0544,0.22045028364594,0.399987780869978,17908.9145330128,-0.0380110366366319,-569.068118408371,31.6046148870395,+0.00,0,UNIV,FAST,1,----,2025/01/02,16:34:34
14,3114.5717,2349.6832,2594.8639,0.386465540128283,0.291555846031206,2349.6832,0.269984737523383,0.45828190583443,2882.53407237182,-0.0461759689333822,-502.203824960317,26.1067840882114,+0.00,0,UNIV,FAST,1,----,2025/01/02,16:34:38
15,3927.0622,2974.7391,1747.2552,0.454045155098709,0.3439379890743,2974.7391,0.292029630543583,0.497726241962055,2228.20779248842,-0.025551025142244,602.815351751674,39.4445958201261,+0.00,0,UNIV,FAST,1,----,2025/01/02,16:34:40
16,4020.2298,3902.168,2087.3436,0.401631734462191,0.38983704414182,3902.168,0.233684087339806,0.510348382917027,3574.88524354683,0.000436444126556326,580.420805879742,37.5434405016335,+0.02,0,UNIV,FAST,1,----,2025/01/02,16:34:43
17,1250.9247,2041.608,3095.2391,0.195831150386431,0.319611918509675,2041.608,0.121564775695844,0.446407479045213,19943.2046572736,0.065584870938333,490.430431864127,47.426448879763,-0.01,0,UNIV,FAST,1,----,2025/01/02,16:34:46
18,4359.3511,4524.4599,5056.9158,0.312706156755041,0.324549786026938,4524.4599,0.199519491499233,0.465921490414596,6540.1510335765,0.000888936291634546,486.058923195937,7.65051960794331,-0.01,0,UNIV,FAST,1,----,2025/01/02,16:34:50
19,2551.0313,1167.0348,-1.287363,0.686355438542749,0.31399092670821,1167.0348,0.50886562270517,0.523785714819084,----,----,617.371491009691,100.153627753596,+0.01,0,UNIV,FAST,1,----,2025/01/02,16:34:53
