No.,X,Y,Z,x,y,Lv [cd/m²],u',v',Tcp,duv,λd/λc,Pe,Δt,ErrCode,Sync Mode,Meas Speed,Averaging Times,Integration Time,Date,Time
1,1120.7087,1158.8788,1325.9619,0.310828829581422,0.321415316068059,1158.8788,0.199398602683372,0.463927272223916,6675.84876873546,0.000215792206755196,484.583451609366,8.56762904338723,+0.00,0,UNIV,FAST,1,----,2025/01/02,14:59:22
2,1193.8303,1146.3502,1236.7799,0.333755526060618,0.320481658113967,1146.3502,0.216083523990649,0.466851636805178,5424.28616090384,-0.0116099743079059,-552.872158118534,5.12351402646645,+0.03,0,UNIV,FAST,1,----,2025/01/02,14:59:25
3,966.66946,892.5997,129.26776,0.486120951679389,0.448872581153786,892.5997,0.262263788754226,0.544878394230529,2640.2930579153,0.0113141758701591,581.546700465859,80.7121797507351,+0.03,0,UNIV,FAST,1,----,2025/01/02,14:59:28
4,879.5148,556.9419,294.84926,0.508006568636776,0.32168889431883,556.9419,0.347696458011544,0.495392611225523,1576.38958845283,-0.0302427934247647,619.425307509696,48.9317117259536,+0.04,0,UNIV,FAST,1,----,2025/01/02,14:59:31
5,792.61193,398.17892,105.45559,0.611467006227612,0.307178409685738,398.17892,0.447698223404462,0.506040817392809,----,----,625.354735599906,75.6139459472784,+0.04,0,UNIV,FAST,1,----,2025/01/02,14:59:34
6,698.47659,397.32747,1239.2827,0.299122328970766,0.170155335042026,397.32747,0.269260082437171,0.34462853148048,----,----,-562.46936883432,57.8274227450464,+0.07,0,UNIV,FAST,1,----,2025/01/02,14:59:37
7,355.14787,533.96722,1299.0605,0.162303186098516,0.244023935940168,533.96722,0.115854696354009,0.391923715623614,----,----,484.690795787338,64.9871721572053,+0.08,0,UNIV,FAST,1,----,2025/01/02,14:59:40
8,253.59322,646.23595,1032.936,0.131207465829902,0.334358234528823,646.23595,0.077753909910337,0.445818648596056,----,----,491.781526135786,68.2557930947189,+0.08,0,UNIV,FAST,1,----,2025/01/02,14:59:43
9,549.87306,841.92304,190.21749,0.347577962335962,0.532184454875637,841.92304,0.159970388405684,0.551102104114925,5247.18347431391,0.0677362907604437,557.519225387274,64.5141435136761,+0.10,0,UNIV,FAST,1,----,2025/01/02,14:59:46
10,617.90548,675.43374,865.76082,0.286186590965002,0.31283114607325,675.43374,0.185186077735247,0.455461378059731,8481.00965971697,0.00929678065983008,485.932428072423,17.5250734343411,+0.12,0,UNIV,FAST,1,----,2025/01/02,14:59:49
